0,1,2,3,4,5,6,7,8
uf2.381,20 - 42 m² útiles,1 - 2 baños,"antonio bellet 183, pedro de valdivia, providencia",both - oficinas,,venta,oficinas,
uf3.610,26 - 47 m² útiles,1 baño,"av. las condes 10800, tabancura, vitacura",meet 10800,,venta,oficinas,
uf1.700,21 m² útiles,1 baño,"avenida kennedy lateral 7440, villa el dorado, vitacura",up town oficinas,,venta,oficinas,
tour virtual,41 - 67 m² útiles,1 baño,"av. ossa 235, la reina",egaña oficinas,,venta,oficinas,
uf2.546,22 - 69 m² útiles,1 - 2 baños,"general del canto 180, manuel montt, providencia",edificio del canto,,venta,oficinas,
tour virtual,26 - 67 m² útiles,1 - 2 dormitorios,1 - 2 baños,"barros arana 1672, barrio oriente - las tres pascualas, concepción",edificio smart tower - offices,,venta,oficinas
uf1.990,27 - 35 m² útiles,1 baño,"av. reñaca norte 25, reñaca, viña del mar",vista montemar,,venta,oficinas,
uf2.390,26 - 55 m² útiles,3 dormitorios,1 baño,"av. concón reñaca 4000, montemar, concón",boulevard  montemar - oficinas,,venta,oficinas
uf2.164,26 - 57 m² útiles,2 - 3 dormitorios,"av. bosques de montemar 30, reñaca, viña del mar",soho de montemar,,venta,oficinas,
uf2.532,25 - 56 m² útiles,2 dormitorios,1 baño,"calle limache 1708, viña del mar",edificio contemporáneo,,venta,oficinas
uf2.220,21 - 79 m² útiles,1 baño,"raúl labbé 12650, la dehesa, lo barnechea",workin oficinas,,venta,oficinas,
uf2.515,13 - 49 m² útiles,3 dormitorios,1 - 2 baños,"padre mariano 94, pedro de valdivia, providencia",padre mariano 94 mixed use - oficinas,,venta,oficinas
uf2.574,28 - 35 m² útiles,1 baño,"av. consistorial 5791, quilín - cousiño macul, peñalolén",bcenter consistorial,,venta,oficinas,
uf1.698,21 - 44 m² útiles,1 baño,"santa macarena 320, montemar, concón",plaza los pinos oficinas,,venta,oficinas,
uf2.496,22 - 861 m² útiles,"balmaceda 2455, centro de antofagasta, antofagasta",puerto nuevo antofagasta,,venta,oficinas,,
uf1.689,20 - 21 m² útiles,1 baño,"josé manso de velasco 221, los ángeles",edificio manso velasco city center negocios,,venta,oficinas,
tour virtual,22 - 46 m² útiles,1 baño,"limache 3437, el salto, viña del mar",reitz iii,,venta,oficinas,
uf2.182,23 - 33 m² útiles,1 baño,"edmundo eluchans 3011, reñaca, viña del mar",hoy eluchans,,venta,oficinas,
uf2.654,24 - 72 m² útiles,1 baño,"libertad 455 esq. 18 de septiembre, centro de chillán, chillán",edificio paseo los héroes,,venta,oficinas,
uf1.025,13 - 46 m² útiles,1 - 2 baños,"libertador general bernardo o’higgins 236, centro de concepción, concepción",studio work,,venta,oficinas,
uf1.453,20 - 46 m² útiles,1 - 2 baños,"san martín 924, centro de temuco, temuco",vanguardia center,,venta,oficinas,
uf1.581,25 - 160 m² útiles,1 baño,"trizano 430, estadio germán becker, temuco",edificio galia,,venta,oficinas,
uf1.981,29 - 118 m² útiles,1 baño,"membrillar 230, rancagua",focus center,,venta,oficinas,
uf1.978,23 - 172 m² útiles,1 - 2 baños,"av. chicureo esq. los libertadores, chicureo, colina",parque comercial puertas de chicureo,,venta,oficinas,
uf2.085,21 - 36 m² útiles,1 baño,"av. américo vespucio 291, ñuñoa",new egaña,,venta,oficinas,
uf2.568,41 - 54 m² útiles,2 baños,"aldunate 719, centro de temuco, temuco",edificio telar,,venta,oficinas,
uf4.970,101 - 438 m² útiles,2 baños,"av. 18 de septiembre 320, centro de chillán, chillán",locales comerciales centro chillán,,venta,oficinas,
uf1.390,23 - 49 m² útiles,1 - 2 baños,"colón 352, centro de la serena, la serena",studioffice colón,,venta,oficinas,
uf1.912,21 - 62 m² útiles,1 - 2 baños,"josé maría escrivá balaguer 851, montemar, concón",pinares,,venta,oficinas,
uf2.691,34 - 93 m² útiles,1 baño,"av. alemania 0999, estadio germán becker, temuco",edificio paseo de las artes,,venta,oficinas,
uf1.898,25 - 60 m² útiles,1 baño,"18 de septiembre 246, centro de chillán, chillán",centro urbano 18-s,,venta,oficinas,
uf4.470,86 - 111 m² útiles,1 baño,"general pedro lagos 865, centro de temuco, temuco",locales comerciales centro lagos ii,,venta,oficinas,
uf2.398,35 - 273 m² útiles,1 - 2 baños,"general ordóñez 155, maipú",monumento plaza maipú - oficinas,,venta,oficinas,
uf6.965,84 - 172 m² útiles,2 baños,"francisco bilbao 992, centro de osorno, osorno",locales comerciales centro osorno,,venta,oficinas,
uf9.479,125 - 135 m² útiles,2 baños,"av. arturo prat esquina sotomayor, centro de iquique, iquique",capital business,,venta,oficinas,
uf1.946,27 - 61 m² útiles,1 baño,"av. huanhuali 565, la pampa, la serena",huanhualí 565,,venta,oficinas,
"uf1.549,70",21 - 47 m² útiles,1 - 2 baños,"hochstetter 1002 esq. o'higgins, temuco",k business center,,venta,oficinas,
uf2.756,32 - 60 m² útiles,1 baño,"quillota 250, centro de viña del mar, viña del mar",vive viana 2 oficinas,,venta,oficinas,
uf3.100,42 m² útiles,"avenida nueva providencia, providencia, chile, pedro de valdivia, providencia",,,venta,oficinas,,
uf21.840,250 m² útiles,"rafael sotomayor 6, santiago, chile, barrio yungay, santiago",,,venta,locales,,
uf7.034,175 m² útiles,"zenteno 1393, santiago, chile, parque o'higgins, santiago",,,venta,locales,,
uf3.490,28 m² útiles,"paseo ahumada 131, santiago, chile, centro histórico de santiago, santiago",,,venta,locales,,
uf20.000,900 m² útiles,"vergara 136, santiago, chile, ejército - toesca, santiago",,,venta,locales,,
uf19.740,105 m² útiles,"alonso de córdova con cerro el plomo, nueva las condes, las condes",,,venta,locales,,
uf46.000,250 m² útiles,"el rodeo / nuevo eje comercial / lo barnechea, la dehesa, lo barnechea",,,venta,locales,,
$210.000.000,130 m² útiles,"parque peñalolén 947, puente alto, chile, elisa correa, puente alto",,,venta,locales,,
uf45.000,283 m² útiles,"apoquindo / escuela militar, metro escuela militar, las condes",,local comercial en venta en las condes,venta,locales,,
uf43.258,644 m² útiles,"cercano a hospital coquimbo / av. videla, centro de coquimbo, coquimbo",,local comercial en venta en coquimbo,venta,locales,,
$1.338.682.488,"1,300 m² útiles","san pablo 3099, santiago, región metropolitana, chile, santiago",,,venta,locales,,
$700.000.000,116 m² útiles,"hernando de aguirre / providencian / metro tobalaba, metro tobalaba - mall costanera, providencia",,local comercial en venta en providencia,venta,locales,,
uf11.666,307 m² útiles,"lote 2d-1 chacra 2 rio simpson coyhaique - código sbif: 18138a, coihaique",,sbif 18138a - lote 2d-1 chacra 2 rio simpson coyhaique,venta,locales,,
uf7.705,210 m² útiles,"ramón subercaseaux 6872 - código sbif: 18163a, santa rita, pirque",,sbif 18163a - ramón subercaseaux 6872,venta,locales,,
uf42.000,320 m² útiles,"pedro aguirre cerda / aerodromo cerrillos, parque bicentenario - metro cerrillos, cerrillos",,local comercial en venta en cerrillos,venta,locales,,
uf22.800,230 m² útiles,"pedro de valdivia / tres antonios, metro ñuñoa, ñuñoa",,,venta,locales,,
$110.000.000,145 m² útiles,"pintor cicarelli, san joaquín, chile, rodrigo de araya, san joaquín",,,venta,locales,,
$260.000.000,200 m² útiles,"san francisco 623, santiago, chile, san diego, santiago",,,venta,locales,,
uf26.700,341 m² útiles,"vendo propiedad comercial aldunate coquimbo, centro de coquimbo, coquimbo",,,venta,locales,,
uf20.000,200 m² útiles,"metro pedro de valdivia, pedro de valdivia, providencia",,,venta,locales,,
uf9.500,208 m² útiles,"san josé de la estrella 845, la granja, región metropolitana, chile, la granja sur, la granja",,"san josé de la estrella 845, la granja",venta,locales,,
$60.000.000,52 m² útiles,"vicuña mackenna & coquimbo, ñuñoa, santiago, chile, santiago",,,venta,locales,,
$160.000,17 m² útiles,"avenida apoquindo 5681, las condes, chile, metro manquehue - apumanque, las condes",,,venta,locales,,
uf21.000,150 m² útiles,"o'higgins 1030, concepción, chile, centro de concepción, concepción",,,venta,locales,,
$65.000.000,13 m² útiles,"holanda 79, providencia, chile, metro tobalaba - mall costanera, providencia",,,venta,locales,,
$11.000.000,55 m² útiles,"general flores, 48, providencia",,derecho de llaves de cafetería en providencia,venta,locales,,
$18.000.000,35 m² útiles,"caupolican, 475, providencia",,vendo derecho de llaves barrio italia,venta,locales,,
$30.000.000,157 m² útiles,"avenida del valle norte, 945, ciudad empresarial, huechuraba",,derecho de llaves cafetería capricho,venta,locales,,
$30.000.000,25 m² útiles,"cerro el plomo, las condes",,local comercial en venta en las condes,venta,locales,,
$15.000.000,70 m² útiles,"bellavista, 573, patronato, recoleta",,derecho de llave de comida al paso en recoleta,venta,locales,,
$30.000.000,100 m² útiles,"cerro el plomo, las condes",,local comercial en venta en las condes,venta,locales,,
tour virtual,450 m² útiles,"se vende propiedad comercial avenida vicuña mackenna, bogotá - sierra bella, santiago",,,venta,locales,,
tour virtual,450 m² totales,"se vende propiedad comercial avenida vicuña mackenna, bogotá - sierra bella, santiago",,,venta,locales,,
$48.000.000,174 m² útiles,"avenida libertador bernardo o'higgins, 299, santiago",,bajon de precio derecho de llaves...el negocio 202,venta,locales,,
uf9.200,181 m² útiles,"pedro fontova 6923,, huechuraba",,en avda pedro fontova,venta,locales,,
uf1.500,174 m² útiles,"av libertador bernardo o´higgins, 299, barrio lastarria, santiago",,bajon de precio..el negocio 2020 derecho de llaves,venta,locales,,
$22.000.000,60 m² útiles,"echaurre, 130, barrio república, santiago",,venta derecho de llaves,venta,locales,,
$203.500.000,206 m² útiles,"los maitenes, 1484, quilicura",,vendo comoda casa comercial,venta,locales,,
uf10.680,125 m² útiles,"los leones / diego de almagro c_387975, campus oriente, providencia",,,venta,locales,,
$240.000.000,250 m² útiles,"los maitenes, 1428, quilicura",,vendo casa comercial,venta,locales,,
uf27.000,"3,570 m² útiles","playa chica., balneario de cartagena, cartagena",,,venta,locales,,
$15.000.000,80 m² útiles,"vidaurre, 1501, santiago",,vendo derecho de llaves restaurant,venta,locales,,
uf40.700,506 m² útiles,"instituto camilo henriquez, recoleta",,,venta,locales,,
$165.000.000,65 m² útiles,3 dormitorios,"excelente negocio de villa versalles con más de 24 años funcionando, maipú",,local comercial en venta en maipú,venta,locales,
uf18.490,741 m² útiles,"gran propiedad industrial esquina, excelente ubicación, estación central",,local comercial en venta en estación central,venta,locales,,
$299.000.000,200 m² útiles,"local en freire / san jose / casi esquina esmeralda, plaza de armas de san bernardo, san bernardo",,,venta,locales,,
$2.500.000,380 m² útiles,"avenida el salto 3193, avenida el salto, recoleta",,,venta,locales,,
$350.000.000,272 m² útiles,3 dormitorios,"buenos aires con progreso- villa alemana sur, villa alemana",,local comercial en venta en villa alemana,venta,locales,
$900.000.000,"20,000 m² totales","hermoso complejo turístico - chiloé, castro",,,venta,locales,,
uf2.799,180 m² totales,"clotario blest / mexico, lo espejo",,local comercial en venta en lo espejo,venta,locales,,
$250.000.000,179 m² útiles,"san pedro del valle, san pedro de la paz",,"casa comercial en venta san pedro del valle, san pedro de la",venta,locales,,
uf40.000,800 m² útiles,"dieciocho 786, santiago, chile, parque almagro, santiago",,,venta,industriales,,
uf23.796,800 m² útiles,"caupolicán 1256, penalolen, peñalolén, chile, metro los orientales, peñalolén",,,venta,industriales,,
uf37.200,"6,200 m² útiles","los libertadores 16500, colina, chile, chicureo, colina",,,venta,industriales,,
uf45.030,640 m² útiles,"cruz almeyda / los guindos, peñalolén",,,venta,industriales,,
uf30.000,900 m² útiles,"gaspar villarroel 1820, ñuñoa, chile, estadio nacional, ñuñoa",,,venta,industriales,,
uf65.500,875 m² útiles,"propiedad industrial 8.238 m2, conchalí",,,venta,industriales,,
uf95.000,"9,191 m² totales","propiedad cerro los cóndores, quilicura",,,venta,industriales,,
uf29.500,"2,000 m² totales","(mr) metro lo vial / dresden, lo vial, san miguel",,,venta,industriales,,
uf120.800,"3,910 m² útiles","propiedad industrial la negra, antofagasta",,,venta,industriales,,
uf16.250,768 m² útiles,"sector duque de kent, avenida el salto, recoleta",,,venta,industriales,,
uf56.000,"1,310 m² útiles","(bod) avenida cañaveral 100, parque industrial buenaventura, quilicura",,,venta,industriales,,
uf56.000,"2,050 m² útiles","(bod) ojos del salado 100, quilicura",,,venta,industriales,,
uf290.000,"14,524 m² útiles","(bod) san ignacio 100, parque industrial buenaventura, quilicura",,,venta,industriales,,
uf21.600,800 m² totales,"ruta 5 / américo vespucio norte, quilicura",,,venta,industriales,,
uf32.300,"1,700 m² útiles","jesús diez martínez 1360, santiago, estación central, chile, nogales - san eugenio, estación central",,,venta,industriales,,
uf36.552,"6,092 m² totales","nuevo parque industrial el montijo, renca",,,venta,industriales,,
tour virtual,"4,499 m² totales","se vende propiedad industrial quilicura, quilicura",,,venta,industriales,,
uf8.160,219 m² útiles,"ruta 5 / autopista nororiente, lampa",,industrial en venta en lampa,venta,industriales,,
uf8.820,239 m² útiles,"ruta 5 / autopista nororiente, lampa",,industrial en venta en lampa,venta,industriales,,
uf11.530,317 m² útiles,"ruta 5 / autopista nororiente, lampa",,industrial en venta en lampa,venta,industriales,,
uf8.820,239 m² útiles,"ruta 5 / autopista nororiente, lampa",,industrial en venta en lampa,venta,industriales,,
uf11.560,318 m² útiles,"ruta 5 / autopista nororiente, lampa",,industrial en venta en lampa,venta,industriales,,
uf11.440,318 m² útiles,"ruta 5 / autopista nororiente, lampa",,industrial en venta en lampa,venta,industriales,,
uf11.430,318 m² útiles,"ruta 5 / autopista nororiente, lampa",,industrial en venta en lampa,venta,industriales,,
uf11.450,318 m² útiles,"ruta 5 / autopista nororiente, lampa",,industrial en venta en lampa,venta,industriales,,
uf15.200,747 m² útiles,"galpón / oficinas / habitacional quinta normal, quinta normal",,,venta,industriales,,
uf8.800,239 m² útiles,"ruta 5 / autopista nororiente, lampa",,industrial en venta en lampa,venta,industriales,,
uf18.490,741 m² útiles,"gran propiedad industrial esquina, excelente ubicación, estación central",,industrial en venta en estación central,venta,industriales,,
uf230.000,"13,355 m² útiles","panamericana sur c_385595, buin zoo, buin",,,venta,industriales,,
$500.000.000,"35,000 m² totales","x-614, coihaique",,,venta,industriales,,
uf95.000,"3,592 m² útiles","puerta sur, las acacias - chena, san bernardo",,puerta sur,venta,industriales,,
uf30.495,500 m² útiles,"el salto / recoleta / amplia oficina y bodega, avenida el salto, recoleta",,,venta,industriales,,
uf9.500,352 m² útiles,"general velásquez, quinta normal",,,venta,industriales,,
uf130.000,"4,992 m² útiles","serrano / tarapaca / metro u de chile, bulnes, santiago",,industrial en venta en santiago,venta,industriales,,
$3.000.000,200 m² útiles,"metro vespucio norte / 1200 - 850 mts2 / imprenta - garage - industrial,, huechuraba",,metro vespucio norte / 1200 - 850 mts2 / imprenta - garage,venta,industriales,,
uf22.400,200 m² útiles,"metro vespucio norte / 1200 - 850 mts2 / industrial, huechuraba",,,venta,industriales,,
uf37.000,"1,251 m² útiles","san agustin, las acacias - chena, san bernardo",,san agustin,venta,industriales,,
uf45.000,"31,000 m² totales","terreno parque industrial las higueras, concón",,,venta,industriales,,
uf10.600,414 m² útiles,"dorsal / vivaceta, estación conchalí, conchalí",,,venta,industriales,,
uf14.900,636 m² totales,2 dormitorios,"el salto / méxico, recoleta",,industrial en venta en recoleta,venta,industriales,
uf30.000,"46,692 m² totales","camino lajarilla 2345, viña del mar",,,venta,industriales,,
uf44.000,130 dormitorios,"costanera, viña del mar",,industrial en venta en viña del mar,venta,industriales,,
$355.000.000,310 m² útiles,"locarno 192, la cisterna",,,venta,industriales,,
uf42.000,"7,500 m² totales","el taqueral, lampa",,terreno compactado en lampa,venta,industriales,,
uf4,147 m² útiles,"camino santa margarita 0601, san bernardo",,industrial en venta en san bernardo,venta,industriales,,
$636.000.000,"2,468 m² útiles",los ángeles,,venta terreno en los angeles,venta,industriales,,
uf26.620,"1,732 m² útiles","tierra linda 5, chicureo, colina",,,venta,industriales,,
uf9.980,403 m² útiles,"general gana entre madrid y lira, bogotá - sierra bella, santiago",,industrial en venta en santiago,venta,industriales,,
uf52,343 m² útiles,"av. pedro de valdivia / jose domingo cañas, ñuñoa",,industrial en venta en ñuñoa,venta,industriales,,
uf107.848,"15,860 m² útiles","cerro portezuelo y san ignacio, quilicura",,cerro portezuelo y san ignacio,venta,industriales,,
uf14.500,7 ha totales,3 dormitorios,"el tartaro, putaendo, valparaíso, chile, putaendo",,,venta,agrícolas,
$240.000.000,12 ha totales,"los ángeles, chile, centro de los ángeles, los ángeles",,,venta,agrícolas,,
$99.000.000,"80,000 m² totales","acceso a rio trancura, pucón hacia paso internacional mamuil malal comuna de curarrehue, curarrehue",,agrícola en venta en curarrehue,venta,agrícolas,,
$985.000.000,"124,000 m² totales","hihuelas, hijuelas",,,venta,agrícolas,,
$340.000.000,168 m² totales,"hermosa casa - loteo el mirador de pucón, pucón",,,venta,agrícolas,,
$68.000.000,"5,316 m² totales","(icm) parcela en el porvenir, laillay, llaillay",,agrícola en venta en llaillay,venta,agrícolas,,
$3.000.000.000,"2,234 ha totales","estancia en puerto natales de 2.234 hectáreas, natales",,,venta,agrícolas,,
$2.500.000.000,"7,800,000 m² totales","fundo palhua 00, san javier",,,venta,agrícolas,,
$900.000.000,"20,000 m² totales","hermoso complejo turístico - chiloé, castro",,,venta,agrícolas,,
$116.400.000,"97,000 m² totales","pargua,, calbuco",,hermoso terreno rural con bosque nativo,venta,agrícolas,,
$840.000.000,100 m² totales,"chiloé - orilla de mar - huenuco, castro",,,venta,agrícolas,,
u$s6.000.000,80 ha totales,"lago huilipilun, villarrica",,agrícola en venta en villarrica,venta,agrícolas,,
$130.500.000,29 ha totales,"gran oportunidad!. hermoso campo de 29 hectáreas en la isla de chiloé a menos de 10 kms de queilen, queilén",,gran oportunidad!. hermoso campo de 29 hectáreas en la,venta,agrícolas,,
$67.000.000,"5,000 m² totales","en venta parcela en carretera 5 sur, paillaco, región de los ríos, paillaco",,agrícola en venta en paillaco,venta,agrícolas,,
uf1,"1,020,000 m² totales","campo agrícola ganadero de 102 ha, los muermos",,,venta,agrícolas,,
$163.200.000,"204,000 m² totales","olmopulli,, maullín",,terreno ideal para labores de campo,venta,agrícolas,,
uf29.000,43 ha totales,"camino totoral fresia (v-30) km 25, fresia",,,venta,agrícolas,,
$45.000.000,"5,742 m² totales","fundo san francisco., san esteban",,agrícola en venta en san esteban,venta,agrícolas,,
u$s6.000.000,"4,231 ha totales","seno otway, punta arenas",,agrícola en venta en punta arenas,venta,agrícolas,,
uf28.560,"1,454,000 m² totales","lago caburga 39°07'39.10&quot; s 71°46'29.93&quot; o, pucón",,agrícola en venta en pucón,venta,agrícolas,,
$300.000.000,"445,000 m² totales","santa rosa de la higuera - camino a cerro negro, quillón",,agrícola en venta en quillón,venta,agrícolas,,
uf200.000,"32,000 m² totales","laguna del maule, colbún",,agrícola en venta en colbún,venta,agrícolas,,
uf47.000,"270,000 m² totales","camino loreto / club de golf las palmas, camino loreto, calera de tango",,,venta,agrícolas,,
$202.500.000,"135,000 m² totales","rio huiman,, maullín",,lindo campo con rio y potencial turistico maullin,venta,agrícolas,,
uf2.600,44 ha totales,"china muerta s / n, lonquimay",,,venta,agrícolas,,
uf2.500,"5,000 m² totales","olivar alto, olivar",,agrícola en venta en olivar,venta,agrícolas,,
$210.000.000,"136,000 m² totales","t-575 10, los lagos",,,venta,agrícolas,,
$66.000.000,6 ha totales,"6 ha de terreno con bose de eucaliptus en producción, la unión",,,venta,agrícolas,,
u$s2.300.000,"1,400 ha totales",2 dormitorios,"camino a cuesta la dormida, tiltil, chile, tiltil",,,venta,agrícolas,
uf5.500,"50,000 m² totales","san ignacio, valdivia",,,venta,agrícolas,,
$40.000.000,"5,200 m² totales","(krm)parcela en camino camino lo orozco con luz y agua, quilpué, quilpué",,agrícola en venta en quilpué,venta,agrícolas,,
$350.000.000,108 ha totales,"camino los guindos, cerro tantehue, melipilla",,,venta,agrícolas,,
$63.000.000,"calle la serena, guanaqueros, guanaquero, coquimbo",,agrícola en venta en coquimbo,venta,agrícolas,,,
$165.000.000,"165,000 m² totales","gorbea santa juana, gorbea",,,venta,agrícolas,,
uf15.875,15 ha totales,"cruce el encanto  / ruta 215, puyehue",,,venta,agrícolas,,
$2.000.000.000,900 ha totales,"fundo 900 hcta. futrono / lago ranco s / n, futrono",,,venta,agrícolas,,
$350.000.000,"licura negrete, mulchén",,agrícola en venta en mulchén,venta,agrícolas,,,
uf5.000,"190,000 m² totales","pitrolco, valdivia",,,venta,agrícolas,,
$25.000.000,"20,000 m² totales","san ignacio, valdivia",,,venta,agrícolas,,
$380.000.000,"95,000 m² útiles","vendo campo de 9.5 hectareas en catemu, región de valparaiso, sur de san felipe, san felipe",,"vendo campo de 9.5 hectareas en catemu, región de valpara...",venta,agrícolas,,
uf337.849,425 ha totales,"lago todos los santos, puerto varas",,agrícola en venta en puerto varas,venta,agrícolas,,
$450.000.000,23 ha totales,"sector los batros 1, linares",,,venta,agrícolas,,
u$s3.800.000,58 ha totales,"lago todos los santos, puerto varas",,agrícola en venta en puerto varas,venta,agrícolas,,
uf108.000,208 ha totales,frutillar,,agrícola en venta en frutillar,venta,agrícolas,,
uf25.900,7 ha totales,"quinahue, santa cruz",,agrícola en venta en santa cruz,venta,agrícolas,,
uf50.000,800 ha totales,"17 km de futaleufú, futaleufú",,agrícola en venta en futaleufú,venta,agrícolas,,
uf86.000,237 ha totales,"sector cancura, río negro",,agrícola en venta en río negro,venta,agrícolas,,
$8.490.000,"5,000 m² totales","parcelas desde 5.000m2 - marchihue, pichilemu, pumanque",,agrícola en venta en pumanque,venta,agrícolas,,
uf18.100,39 ha totales,"hermoso campo en trumao de 39ha con 1.1km de río bueno / cerca de lago ranco, rahue, osorno",,hermoso campo en trumao de 39ha con 1.1km de río bueno /,venta,agrícolas,,
$425.000.000,"3,000 m² totales",6 dormitorios,"18 de septiembre 2731, chépica",,agrícola en venta en chépica,venta,agrícolas,
uf4.200,725 m² totales,"camino villarrica - pucón, pucón, chile., camino a villarrica, pucón",,"camino villarrica - pucón, pucón, chile.",venta,terrenos,,
uf6.500,500 ha totales,"jorge cáceres 953, la cisterna, chile, lo ovalle, la cisterna",,,venta,terrenos,,
uf13.750,920 m² totales,"manuel montt 11564, la florida, chile, mall plaza tobalaba, puente alto",,,venta,terrenos,,
uf20.990,"4,195 m² totales","e-30-f, zapallar, valparaíso, chile, norte de zapallar, zapallar",,,venta,terrenos,,
uf9.700,"3,731 m² totales","calle 1 1023, chiguayante, bío bío, chile, schaub, chiguayante",,,venta,terrenos,,
uf35.600,"8,676 m² totales","aranda 789, villa alemana, valparaíso, chile, barrio norte, villa alemana",,,venta,terrenos,,
uf41.860,"1,806 m² totales","urmeneta 670, san bernardo, chile, plaza de armas de san bernardo, san bernardo",,,venta,terrenos,,
uf105.198,"7,255 m² totales","los cerezos, penalolen, peñalolén, chile, las torres, peñalolén",,,venta,terrenos,,
$28.000.000,"5,000 m² totales","unnamed road, frutillar, los lagos, chile, frutillar",,,venta,terrenos,,
uf3.485,"5,000 m² totales","unnamed road, valdivia, los ríos, chile, valdivia",,,venta,terrenos,,
uf30.661,"30,500 m² totales","mariana de osorio 2429, el granizo, olmué, chile, granizo, olmué",,,venta,terrenos,,
uf12.900,780 m² útiles,"se vende terreno residencial en manquehue oriente, los trapenses, lo barnechea",,,venta,terrenos,,
$42.000.000,322 m² totales,"acceso fuerte, niebla, valdivia, chile, niebla, valdivia",,,venta,terrenos,,
uf62.000,2 ha totales,"v-305, frutillar, los lagos, chile, frutillar bajo, frutillar",,,venta,terrenos,,
uf35.000,550 m² totales,"almirante juan josé latorre 3058, antofagasta, chile, centro de antofagasta, antofagasta",,,venta,terrenos,,
uf40.000,"4,062 m² totales","av. américo vespucio 1292, pudahuel, región metropolitana, chile, enea, pudahuel",,"av. américo vespucio 1292, pudahuel, región metropolitana",venta,terrenos,,
uf5.980,496 m² totales,"lomas de montemar 845, concón, valparaíso, chile, montemar, concón",,,venta,terrenos,,
uf950,"5,000 m² totales","camino mirador puertecillo, navidad, o'higgins, chile, navidad",,,venta,terrenos,,
uf25.000,"1,231 m² totales","camino melipilla 2631, padre hurtado, chile, padre hurtado",,,venta,terrenos,,
uf5.100,"1,022 m² totales","avenida independencia 68, limache, chile, limache viejo, limache",,,venta,terrenos,,
uf20.000,"1,058 m² totales","camino de las ermitas 4191, lo barnechea, región metropolitana, chile, los trapenses, lo barnechea",,"camino de las ermitas 4191, lo barnechea",venta,terrenos,,
uf10.046,"1,004 m² totales","los tuliperos 327, concón, chile, montemar, concón",,,venta,terrenos,,
uf14.515,"5,188 m² totales","camino de la hacienda 168, colina, región metropolitana, chile, chicureo, colina",,"camino de la hacienda 168, colina, región metropolitana",venta,terrenos,,
$56.000.000,270 m² totales,"yerbas buenas 570, los andes, chile, centro de los andes, los andes",,,venta,terrenos,,
uf2,"130,000 m² totales","av. balmaceda 6767, valdivia, los ríos, chile, valdivia",,,venta,terrenos,,
uf11.537,5 ha totales,"santa teresa & el colorado, colina, chile, colina",,,venta,terrenos,,
uf23.000,"1,838 m² totales","valle escondido / sector la isla, valle escondido, lo barnechea",,terreno construccion  en venta en lo barnechea,venta,terrenos,,
$31.000.000,"5,000 m² totales","las mariposas, chillán, chile, chillán",,,venta,terrenos,,
$25.000.000,1 ha totales,"ruta 181, victoria, chile, victoria",,,venta,terrenos,,
uf20.900,"2,000 m² totales","sendero el mirador y lagunas, valle escondido, lo barnechea, valle escondido, lo barnechea",,,venta,terrenos,,
$85.000.000,4 ha totales,"teodoro schmidt, chile, teodoro schmidt",,,venta,terrenos,,
$11.000.000,"5,000 m² totales","lincoyán, quilpué, chile, belloto norte, quilpué",,,venta,terrenos,,
$11.500.000,1 m² totales,"vende terrenos en el paraíso, aysén, 2,5 héctareas desde 11.5 millones, aysén",,"vende terrenos en el paraíso, aysén, 2,5 héctareas desde 11.",venta,terrenos,,
$55.000.000,"5,000 m² totales","cahuil, pichilemu",,terreno construccion  en venta en pichilemu,venta,terrenos,,
uf10.300,416 m² totales,"km 15 ruta n-55, callejon bustamante, pinto",,maravillosa propiedad en camino pinto km 15.,venta,terrenos,,
$28.000.000,"5,200 m² totales","los andes poniente, los andes",,exclusiva parcela en fundo san francisco,venta,terrenos,,
uf13.300,"5,500 m² totales","camino los refugios, 18500, ciudad del este, puente alto",,espectacular vista terreno para construir su casa,venta,terrenos,,
uf30.960,"3,096 m² totales","consistorial /el embalse, peñalolén",,sitio en venta en peñalolen,venta,terrenos,,
uf8.960,526 m² totales,18 dormitorios,"einstein &amp; los conquistadores., recoleta",,terreno construccion  en venta en recoleta,venta,terrenos,
$45.000.000,"5,000 m² totales","metreñehue, pucón",,parcelas camino a caburgua,venta,terrenos,,
uf29.304,"2,668 m² útiles","centro de quilicura, mall arauco quilicura, quilicura",,,venta,terrenos,,
$82.000.000,232 m² totales,"circunvalación 105, puente alto",,"en venta terreno 230 mts2, puente alto, $ 82 millones",venta,terrenos,,
$50.000.000,100 m² totales,3 dormitorios,"(krm)casa 2 niveles iluminada 3d 1b en troncos viejos, villa alemana, villa alemana",,terreno construccion  en venta en villa alemana,venta,terrenos,
uf4.635,"5,000 m² totales","casas viejas-lo arcaya, colina",,"terrenos desde uf 4.635 en sector lo arcaya, chicureo norte.",venta,terrenos,,
uf11.000,"25,000 m² totales","camino a farellones 39001,, lo barnechea",,"terreno camino a farellones, doble acceso.",venta,terrenos,,
$45.000.000,"5,742 m² totales","fundo san francisco., san francisco de los andes, san esteban",,terreno construccion  en venta en san esteban,venta,terrenos,,
uf15.015,"2,145 m² totales","consistorial /el embalse, peñalolén",,sitio en venta en peñalolen - atención inversionistas,venta,terrenos,,
u$s6.000.000,"4,231 ha totales","seno otway, punta arenas",,terreno en venta en punta arenas,venta,terrenos,,
